Players,Country,Age,Specialism,BattingStyle,BowlingStyle,T20caps,IPL,2021Team,2021IPL,CaUcAs,ReservePrice Rs Lakh,PricePaid,Team
R Ashwin,India,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,51,167,DC,13,Capped,200,50000000,RR
Trent Boult,New Zealand,32,BOWLER,RHB,LEFT ARM Fast Medium,44,62,MI,14,Capped,200,80000000,RR
Pat Cummins,Australia,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,37,37,KKR,7,Capped,200,72500000,KKR
Quinton De Kock,South Africa,29,WICKETKEEPER,LHB,-,61,77,MI,11,Capped,200,67500000,LSG
Shikhar Dhawan,India,36,BATSMAN,LHB,-,68,192,DC,16,Capped,200,82500000,PK
Faf Du Plessis,South Africa,37,BATSMAN,RHB,RIGHT ARM Leg Spin,50,100,CSK,16,Capped,200,70000000,RCB
Shreyas Iyer,India,27,BATSMAN,RHB,RIGHT ARM Leg Spin,32,87,DC,8,Capped,200,122500000,KKR
Kagiso Rabada,South Africa,26,BOWLER,LHB,RIGHT ARM Fast,40,50,DC,15,Capped,200,92500000,PK
Mohammad Shami,India,32,BOWLER,RHB,RIGHT ARM Fast,17,77,PBKS,14,Capped,200,62500000,GT
David Warner,Australia,35,BATSMAN,LHB,-,88,150,SRH,8,Capped,200,62500000,DC
Shimron Hetmyer,West Indies,25,BATSMAN,LHB,RIGHT ARM Leg Spin,42,31,DC,14,Capped,150,85000000,RR
David Miller,South Africa,32,BATSMAN,LHB,-,95,89,RR,9,Capped,100,30000000,GT
Devdutt Padikkal,India,21,BATSMAN,LHB,RIGHT ARM Off Spin,2,29,RCB,14,Capped,200,77500000,RR
Manish Pandey,India,32,BATSMAN,RHB,RIGHT ARM Off Spin,39,154,SRH,8,Capped,100,46000000,LSG
Suresh Raina,India,35,BATSMAN,LHB,RIGHT ARM Off Spin,78,205,CSK,12,Capped,200,0,UnSold
Jason Roy,England,31,BATSMAN,RHB,-,53,13,SRH,5,Capped,200,20000000,GT
Steve Smith,Australia,32,BATSMAN,RHB,-,52,103,DC,8,Capped,200,0,UnSold
Robin Uthappa,India,36,BATSMAN,RHB,-,13,193,CSK,4,Capped,200,20000000,CSK
Shakib Al Hasan,Bangladesh,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,94,71,KKR,8,Capped,200,0,UnSold
Dwayne Bravo,West Indies,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,91,151,CSK,11,Capped,200,44000000,CSK
Wanindu Hasaranga,Sri Lanka,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,33,2,RCB,2,Capped,100,107500000,RCB
Jason Holder,West Indies,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,30,26,SRH,8,Capped,150,87500000,LSG
Mitchell Marsh,Australia,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,36,21,Do No Play,0,Capped,200,65000000,DC
Mohammad Nabi,Afghanistan,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,86,17,SRH,3,Capped,100,10000000,KKR
Krunal Pandya,India,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,19,84,MI,13,Capped,200,82500000,LSG
Harshal Patel,India,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,2,63,RCB,15,Capped,200,107500000,RCB
Nitish Rana,India,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,2,77,KKR,17,Capped,100,80000000,KKR
Washington Sundar,India,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,31,42,RCB,6,Capped,150,87500000,SRH
Jonny Bairstow,England,32,WICKETKEEPER,RHB,-,63,28,SRH,7,Capped,150,67500000,PK
Sam Billings,England,30,WICKETKEEPER,RHB,-,33,22,DC,0,Capped,200,20000000,KKR
Dinesh Karthik,India,36,WICKETKEEPER,RHB,-,32,213,KKR,17,Capped,200,55000000,RCB
Ishan Kishan,India,23,WICKETKEEPER,LHB,-,5,61,MI,10,Capped,200,152500000,MI
Nicholas Pooran,West Indies,26,WICKETKEEPER,LHB,-,49,33,PBKS,12,Capped,150,107500000,SRH
Ambati Rayudu,India,36,WICKETKEEPER,RHB,-,6,175,CSK,16,Capped,200,67500000,CSK
Wriddhiman Saha,India,37,WICKETKEEPER,RHB,-,0,133,SRH,9,Capped,100,19000000,GT
Matthew Wade,Australia,34,WICKETKEEPER,LHB,-,55,3,Do No Play,0,Capped,200,24000000,GT
Deepak Chahar,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,17,63,CSK,15,Capped,200,140000000,CSK
Lockie Ferguson,New Zealand,30,BOWLER,RHB,RIGHT ARM Fast,15,22,KKR,8,Capped,200,100000000,GT
Josh Hazlewood,Australia,31,BOWLER,LHB,RIGHT ARM Fast,24,12,CSK,9,Capped,200,77500000,RCB
Prasidh Krishna,India,26,BOWLER,RHB,RIGHT ARM Fast,0,34,KKR,10,Capped,100,100000000,RR
Bhuvneshwar Kumar,India,32,BOWLER,RHB,RIGHT ARM Fast Medium,55,132,SRH,11,Capped,200,42000000,SRH
T Natarajan,India,30,BOWLER,LHB,LEFT ARM Fast,4,24,SRH,2,Capped,100,40000000,SRH
Mustafizur Rahman,Bangladesh,26,BOWLER,LHB,LEFT ARM Fast Medium,61,38,RR,14,Capped,200,20000000,DC
Shardul Thakur,India,30,BOWLER,RHB,RIGHT ARM Fast Medium,24,61,CSK,16,Capped,200,107500000,DC
Mark Wood,England,32,BOWLER,RHB,RIGHT ARM Fast,19,1,Do No Play,0,Capped,200,75000000,LSG
Umesh Yadav,India,34,BOWLER,RHB,RIGHT ARM Fast,7,121,DC,0,Capped,200,20000000,KKR
Yuzvendra Chahal,India,31,BOWLER,RHB,RIGHT ARM Leg Spin,50,114,RCB,15,Capped,200,65000000,RR
Rahul Chahar,India,22,BOWLER,RHB,RIGHT ARM Leg Spin,6,42,MI,11,Capped,75,52500000,PK
Amit Mishra,India,39,BOWLER,RHB,RIGHT ARM Leg Spin,10,154,DC,4,Capped,150,0,UnSold
Adil Rashid,England,34,BOWLER,RHB,RIGHT ARM Leg Spin,68,1,PBKS,1,Capped,200,0,UnSold
Imran Tahir,South Africa,43,BOWLER,RHB,RIGHT ARM Leg Spin,38,59,CSK,1,Capped,200,0,UnSold
Kuldeep Yadav,India,27,BOWLER,LHB,LEFT ARM Slow Unorthodox,23,45,KKR,0,Capped,100,20000000,DC
Mujeeb Zadran,Afghanistan,21,BOWLER,RHB,RIGHT ARM Off Spin,22,19,SRH,1,Capped,200,0,UnSold
Adam Zampa,Australia,29,BOWLER,RHB,RIGHT ARM Leg Spin,57,14,RCB,0,Capped,200,0,UnSold
Dewald Brevis,South Africa,18,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,30000000,MI
Priyam Garg,India,21,BATSMAN,RHB,RIGHT ARM Off Spin,0,19,SRH,5,Uncapped,20,2000000,SRH
Ashwin Hebbar,India,26,BATSMAN,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Uncapped,20,2000000,DC
CHari Nishaanth,India,25,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,CSK,0,Uncapped,20,2000000,CSK
Rajat Patidar,India,28,BATSMAN,RHB,RIGHT ARM Off Spin,0,4,RCB,4,Uncapped,20,0,UnSold
Abhinav Sadarangani,India,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,26000000,GT
Anmolpreet Singh,India,24,BATSMAN,RHB,RIGHT ARM Off Spin,0,1,MI,1,Uncapped,20,2000000,MI
Rahul Tripathi,India,31,BATSMAN,RHB,RIGHT ARM Medium,0,62,KKR,17,Uncapped,40,85000000,SRH
Shahbaz Ahamad,India,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,13,RCB,11,Uncapped,30,24000000,RCB
Harpreet Brar,India,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,10,PBKS,7,Uncapped,20,38000000,PK
Deepak Hooda,India,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,80,PBKS,12,Uncapped,40,57500000,LSG
